Site,ID,Date,Discharge (cfs),% uncertainty
TIN BROOK,13-TINW-0.5,7/10/2018,1.62,
TIN BROOK,13-TINW-0.5,7/24/2018,37.290,6.2
TIN BROOK,13-TINW-0.5,8/15/2018,54.585,11.4
TIN BROOK,13-TINW-0.5,9/6/2018,5.316,20.7
TIN BROOK,13-TINW-0.5,10/2/2018,50.155,6.60
TIN BROOK,13-TINW-0.5,7/24/2019,17.95,5.8
TIN BROOK,13-TINW-0.5,8/14/2019,1.92,5.5
TIN BROOK,13-TINW-0.5,9/17/2019,0.949,5.30
DWAAR KILL,13-DWAR-2.0,7/10/2018,5.424,
DWAAR KILL,13-DWAR-2.0,7/24/2018,40.33,
DWAAR KILL,13-DWAR-2.0,8/15/2018,54.787,13.7
DWAAR KILL,13-DWAR-2.0,9/6/2018,2.935,29.0
DWAAR KILL,13-DWAR-2.0,10/2/2018,43.476,8.9
DWAAR KILL,13-DWAR-2.0,6/26/2019,24.31,4.8
DWAAR KILL,13-DWAR-2.0,7/24/2019,9.81,5.4
DWAAR KILL,13-DWAR-2.0,8/14/2019,8.38,
DWAAR KILL,13-DWAR-2.0,9/17/2019,1.66,6.5
SHAWANGUNK KILL,13-GUNK-0.4,7/10/2018,33.748,
SHAWANGUNK KILL,13-GUNK-0.4,9/6/2018,40.411,17.5
PLATTE KILL,13-PKIL-0.4,7/10/2018,1.609,
PLATTE KILL,13-PKIL-0.4,7/24/2018,35.498,10
PLATTE KILL,13-PKIL-0.4,8/15/2018,33.863,6.5
PLATTE KILL,13-PKIL-0.4,9/6/2018,1.696,28.8
PLATTE KILL,13-PKIL-0.4,10/2/2018,50.735,9.6
PLATTE KILL,13-PKIL-0.4,6/26/2019,14.94,5.6
PLATTE KILL,13-PKIL-0.4,7/23/2019,22.44,5.8
PLATTE KILL,13-PKIL-0.4,8/14/2019,3.13,5.5
PLATTE KILL,13-PKIL-0.4,9/17/2019,1.61,3.8
SHAWANGUNK KILL,13-GUNK-40.3 ,7/11/2018,0.464,
SHAWANGUNK KILL,13-GUNK-40.3 ,7/25/2018,16.285,5.5
SHAWANGUNK KILL,13-GUNK-40.3 ,8/16/2018,13.382,4.4
SHAWANGUNK KILL,13-GUNK-40.3 ,9/5/2018,0.746,46.3
SHAWANGUNK KILL,13-GUNK-40.3 ,10/3/2018,37.438,7.6
UNNAMED TRIB TO SHAWANGUNK KILL,13-GUNK-T35-0.2,7/11/2018,0.015,
UNNAMED TRIB TO SHAWANGUNK KILL,13-GUNK-T35-0.2,7/25/2018,8.311,5.9
UNNAMED TRIB TO SHAWANGUNK KILL,13-GUNK-T35-0.2,8/16/2018,2.358,14.7
UNNAMED TRIB TO SHAWANGUNK KILL,13-GUNK-T35-0.2,9/5/2018,0.415,11.9
UNNAMED TRIB TO SHAWANGUNK KILL,13-GUNK-T35-0.2,10/3/2018,13.89,5
SHAWANGUNK KILL,13-GUNK-37.7,7/25/2018,16.663,22.3
SHAWANGUNK KILL,13-GUNK-37.7,8/16/2018,11.703,9.2
SHAWANGUNK KILL,13-GUNK-37.7,9/5/2018,0.119,18.8
SHAWANGUNK KILL,13-GUNK-37.7,10/3/2018,63.38,7.4
LITTLE SHAWANGUNK KILL,13-LGUN-6.0,7/11/2018,0.159,
LITTLE SHAWANGUNK KILL,13-LGUN-6.0,7/25/2018,0.87,10
LITTLE SHAWANGUNK KILL,13-LGUN-6.0,8/16/2018,0.42,70.5
LITTLE SHAWANGUNK KILL,13-LGUN-6.0,9/5/2018,0.292,40.9
LITTLE SHAWANGUNK KILL,13-LGUN-6.0,10/3/2018,11.48,12.2
MONHAGEN BROOK,13-MONH-4.1,7/11/2018,0.78,
MONHAGEN BROOK,13-MONH-4.1,7/25/2018,23.067,10.1
MONHAGEN BROOK,13-MONH-4.1,8/16/2018,8.84,9.9
MONHAGEN BROOK,13-MONH-4.1,9/5/2018,1.847,7.5
MONHAGEN BROOK,13-MONH-4.1,10/3/2018,34.76,5.3
Pochuck Creek,13-POCH-1.8,6/26/2019,148.77,5.2
Pochuck Creek,13-POCH-1.8,9/5/2018,78.15,5.6
Pochuck Creek,13-POCH-1.8,9/18/2019,4.46,4.9
Pochuck Creek,13-POCH-1.8,8/15/2019,21.62,5.4
MONHAGEN BROOK,13-MONH-0.4,7/11/2018,1.75,5.2
MONHAGEN BROOK,13-MONH-0.4,7/25/2018,72.75,4.7
MONHAGEN BROOK,13-MONH-0.4,8/15/2018,33.6,5.2
MONHAGEN BROOK,13-MONH-0.4,9/6/2018,3.12,5.1
Quaker Creek,13-QKER-0.9,7/11/2018,1.204,5.5
Quaker Creek,13-QKER-0.9,7/25/2018,6.83,5.4
Quaker Creek,13-QKER-0.9,9/5/2018,14.56,5.4
Rio Grande,13-RIOG-0.7,7/11/2018,1.299,12.3
Rio Grande,13-RIOG-0.7,7/25/2018,8.21,5.3
Rio Grande,13-RIOG-0.7,8/14/2018,17.96,5.6
Rio Grande,13-RIOG-0.7,9/6/2018,2.19,5.3
Rio Grande,13-RIOG-0.7,10/4/2018,29.05,5.1
Rutgers Creek,13-RUTG-1.5,7/11/2018,1.93,4.9
Rutgers Creek,13-RUTG-1.5,7/24/2018,156.21,5.1
Rutgers Creek,13-RUTG-1.5,8/14/2018,366.82,5.2
Rutgers Creek,13-RUTG-1.5,9/5/2018,14.32,5.6
Rutgers Creek,13-RUTG-1.5,8/15/2019,7.08,4.8
Rutgers Creek,13-RUTG-1.5,6/26/2019,27.53,5.5
Rutgers Creek,13-RUTG-1.5,7/24/2019,107.58,5
Rutgers Creek,13-RUTG-1.5,9/18/2019,0.68,4.7
Swarte Kill,13-SWAK-1.7,7/10/2018,1.49,5.9
Swarte Kill,13-SWAK-1.7,7/24/2018,4.56,6
Swarte Kill,13-SWAK-1.7,8/14/2018,14.37,4.9
Swarte Kill,13-SWAK-1.7,9/5/2018,1.72,6.9
Swarte Kill,13-SWAK-1.7,6/26/2019,7.74,4.6
Swarte Kill,13-SWAK-1.7,7/23/2019,24.61,4.1
Swarte Kill,13-SWAK-1.7,8/14/2019,2.32,5
Swarte Kill,13-SWAK-1.7,9/17/2019,0.999,5.9
Masonic Creek,13-MASO-0.2,7/11/2018,0.28,9.5
Masonic Creek,13-MASO-0.2,7/25/2018,30.03,5.6
Masonic Creek,13-MASO-0.2,8/15/2018,23.82,5.4
Masonic Creek,13-MASO-0.2,9/6/2018,1.05,6
Cheechunk Creek,13-WCHEE-0.6,7/11/2018,0.247,5.3
Cheechunk Creek,13-WCHEE-0.6,7/25/2018,12.26,5.3
Cheechunk Creek,13-WCHEE-0.6,8/15/2018,16.14,5.1
Cheechunk Creek,13-WCHEE-0.6,9/6/2018,1.23,5.4
Cheechunk Creek,13-WCHEE-0.6,10/4/2018,43.44,4.5
Kleine Kill,13-WKLEI-0.6,7/24/2018,34.23,5.1
Kleine Kill,13-WKLEI-0.6,8/14/2018,17.5,4.9
Kleine Kill,13-WKLEI-0.6,9/5/2018,0.56,5.6
