"PWL_segment","Year","Parameter","Exceedances"
"1306-0017","2017","dissolved_oxygen",1
"1306-0017","2019","dissolved_oxygen",1
"1306-0025","2017","dissolved_oxygen",1
"1306-0025","2018","dissolved_oxygen",6
"1306-0025","2018","ph",1
"1306-0027","2017","ph",1
"1306-0027","2018","ph",3
"1306-0037","2018","dissolved_oxygen",1
"1306-0038","2017","ph",1
"1306-0038","2018","ph",1
"1306-0042","2018","dissolved_oxygen",2
"1306-0044","2018","dissolved_oxygen",1
"1306-0044","2018","ph",1
"1306-0045","2017","dissolved_oxygen",1
"1306-0045","2017","ph",1
"1306-0045","2018","dissolved_oxygen",6
"1306-0045","2018","ph",2
"1306-0045","2019","dissolved_oxygen",5
"1306-0045","2019","ph",2
"1306-0047","2018","total_dissolved_solids",1
"1306-0048","2018","iron",4
"1306-0061","2017","total_dissolved_solids",4
"1306-0061","2018","ph",1
"1306-0061","2018","total_dissolved_solids",2
"1306-0068","2018","iron",5
"1306-0068","2018","ph",2
"1306-0068","2019","iron",2
"1306-0072","2018","dissolved_oxygen",1
"1306-0072","2018","total_dissolved_solids",1
"1306-0074","2017","total_dissolved_solids",3
"1306-0074","2018","total_dissolved_solids",3
"1306-0078","2018","dissolved_oxygen",5
"1306-0078","2018","ph",1
"1306-0078","2019","dissolved_oxygen",6
